referecia;DESCRIPCION;VRCMP;VRVEN;PROVEEDOR;CNT;BODEGA
OBCBX100;ORINGS BAQUELA CARBURADOR BOXER CT 100;280;600;900219370;10;1
OCRX115;ORINGS CIGÜEÑAL RX 115;200;500;900219370;10;1
OPSDTK125;ORINGS PIÑON SALIDA DTK 125;264;600;900219370;10;1
OTVLECO100;ORINGS TAPA VOLANTE ECO 100;1740;3400;900219370;5;1
OTVXL125;ORINGS TAPA VALVULA XL 15;640;1200;900219370;10;1
OTZC70;ORINGS TAZA CARBRADOR C70;1050;2100;900219370;5;1
PAMRC100;PAR AMORTIGUADOR C100 WAVE /AKT110 CON COPA;41840;62000;805005639;2;1
PAMRTRSPLNG;PAR AMORTIGUADOR TRASERO SPLENDOR NG;38240;58000;805005639;2;1
PAMTRAKT110;PAR AMORTIGUADOR TRASERO AKT 110 SX;53570;81200;805005639;2;1
PBDDBL;PND DOBLE CD100/SPLENDOR/ECO DELUXE;6780;11800;805005639;2;1
PCBEST125;PALANCA CAMBIOS BEST 125;6600;12800;805005639;1;1
PCDBLD;PALANCA CAMBIOS DOBRE GP125/TR/AX;4285;8500;805005639;2;1
PCDTE;PALANCA CAMBIOS DT175 /DTK;4720;9500;805005639;2;1
PCMVV;PALANCA CAMBIOS VIVA/VIVAX;7990;13600;805005639;1;1
PEAK;PATADA DE ENCENDIDO AKT125S/EVO;9830;16800;805005639;2;1
PEC70;PATADA DE ENCENDIDO C70/C90;7450;12800;805005639;2;1
PECD;PATADA DE ENCENDIDO CD100/ECO100;11790;19800;805005639;2;1
PEDTE;PATADA DE ENCENDIDO DTE/DTK125/175 TW;10400;18600;805005639;1;1
PEGP;PATADA DE ENCENDIDO GP/AX/AKT100 TW;10360;18900;805005639;2;1
PERX;PATADA DE ENCENDIDO RX TW;9350;15600;805005639;0;1
PFAK;PEDAL FRENO AKT110 VARILLA CORTA;7800;13800;805005639;1;1
PFAX;PEDAL FRENO AX100;7370;12800;805005639;1;1
PFDIS;PEDAL FRENO DISCOVER 125;8880;14600;805005639;1;1
PFECO;PEDAL FRENO ECO DELUXE TW;7850;13900;805005639;1;1
PFV80;PEDAL FRENO V80/CRYPTON;7230;12800;805005639;1;1
PGBTVVA115;PASADOR GATO  CON BUJE Y TUERCA VIVA 115;7480;13900;900219370;2;1
PGCBTAX100;PASADOR GATO  CON BUJE Y TUERCA AX100;6160;11900;900219370;2;1
PGCMAGMN;PASADOR GATO CENTRAL MACIZO AGILITY MN;3000;5800;900219370;1;1
PGCMAKT110;PASADOR GATO CENTRAL MACIZO AKTA 110;4748;9500;900219370;1;1
PGCMAX100;PASADOR GATO CENTRAL MACIZO AX 100;6200;12300;900219370;1;1
PGCMBST125;PASADOR GATO CENTRAL MACIZO BEST 125;6200;12300;900219370;1;1
PGCMBWS100;PASADOR GATO CENTRAL MACIZO BWS 100;2116;4200;900219370;1;1
PGCMBX100;PASADOR GATO CENTRAL MACIZO BOXER 100;1544;3200;900219370;1;1
PGCMCBF150;PASADOR GATO CENTRAL MACIZO CBF 150;3775;6400;900219370;1;1
PGCMCRY110;PASADOR GATO CENTRAL MACIZO CRYPTON 110;3630;6400;900219370;1;1
PGCMDIS125;PASADOR GATO CENTRAL MACIZO DISCOVER 125 SUPREME;3775;6400;900219370;1;1
PGCMGN125;PASADOR GATO CENTRAL MACIZO GN 125;3832;6800;900219370;1;1
PGCMPLS180;PASADOR GATO CENTRAL MACIZO PULSAR 180;1544;3000;900219370;1;1
PGCMRX115;PASADOR GATO CENTRAL MACIZO RX 115;4748;8600;900219370;2;1
PGCMV80;PASADOR GATO CENTRAL MACIZO V80;4748;8600;900219370;1;1
PGCMVVX115;PASADOR GATO CENTRAL MACIZO VIVAX 115;6050;11800;900219370;1;1
PLCAMB;PALANCA CAMBIOS DOBLE C70;5790;11200;805005639;1;1
PLCAMCB110;PALANCA CAMBIOS CB110;6250;12500;805005639;1;1
PLCRNTS125;PATA LATERAL CURVA LATERAL NEGRA TS 125Z;9610;18900;900219370;1;1
PLP;PULPO;1600;4000;1144184732;100;1
PLRNAGMN;PATA LATERAL RECTA NEGRA AGILITY MN;9009;18600;900219370;1;1
PLRNAGMV;PATA LATERAL RECTA NEGRA AGILITY MV;9719;18900;900219370;1;1
PLRNAKT110;PATA LATERAL RECTA NEGRA AKT110;5842;10800;900219370;1;1
PLRNAKT125E;PATA LATERAL RECTA NEGRA AKT 125 EVO;5842;10800;900219370;1;1
PLRNAKT125FL;PATA LATERAL RECTA NEGRA AKT 125 FLEX;5842;9600;900219370;1;1
PLRNAKT200;PATA LATERAL RECTA NEGRA AKT 200;9240;14800;900219370;1;1
PLRNAX100;PATA LATERAL RECTA NEGRA AX 100;5842;9800;900219370;2;1
PLRNAX1104T;PATA LATERAL RECTA NEGRA AX 110 4T;5460;8600;900219370;1;1
PLRNBES125;PATA LATERAL RECTA NEGRA BEST 125;5842;9600;900219370;1;1
PLRNBX100;PATA LATERAL RECTA NEGRA BOXER 100;5842;9600;900219370;1;1
PLRNC100W;PATA LATERAL RECTA NEGRA C 100 WAVE;5842;9600;900219370;1;1
PLRNCB110;PATA LATERAL RECTA NEGRA CB 110;6006;9800;900219370;1;1
PLRNCD100;PATA LATERAL RECTA NEGRA CD 100;5842;9600;900219370;1;1
PLRNCRY110;PATA LATERAL RECTA NEGRA CRYPTON 110;5842;9600;900219370;1;1
PLRNDIS125SP;PATA LATERAL RECTA NEGRA DISCOVER 125 SUPREME;6061;9800;900219370;1;1
PLRNECO100;PATA LATERAL RECTA NEGRA ECO 100;5842;9600;900219370;2;1
PLRNFR80;PATA LATERAL RECTA NEGRA FR 80;5842;9600;900219370;2;1
PLRNGN125;PATA LATERAL RECTA NEGRA GN 125;5733;9400;900219370;1;1
PLRNPLS135;PATA LATERAL RECTA NEGRA PULSAR 135;7000;11800;900219370;1;1
PLRNPLS180;PATA LATERAL RECTA NEGRA PULSAR 180 # 1;6061;9800;900219370;1;1
PLRNPLS200;PATA LATERAL RECTA NEGRA PULSAR 200;6510;10800;900219370;1;1
PLRNRX100;PATA LATERAL RECTA NEGRA RX 100;5842;9600;900219370;2;1
PLRNSP100;PATA LATERAL RECTA NEGRA SPLENDOR 100;5842;9600;900219370;1;1
PLRNV80;PATA LATERAL RECTA NEGRA V 80;5842;9600;900219370;1;1
PLS180;EJE TRASERO PULSAR 180;6930;11600;900219370;1;1
PMCTAX100;PERNO MANIGUETA CON TUERCA AX 100;869;1500;900219370;10;1
PMCTBX100;PERNO MANIGUETA CON TUERCA BOXER CT 100;1282;2200;900219370;10;1
PMCTC100BZ;PERNO MANIGUETA CON TUERCA C 100 BIZ;886;1600;900219370;5;1
PMCTCD100;PERNO MANIGUETA CON TUERCA CD 100;869;1600;900219370;5;1
PMCTDIS135SP;PERNO MANIGUETA CON TUERCA DISCOVER 135 SUPREME;1316;2200;900219370;5;1
PMCTDTK125;PERNO MANIGUETA CON TUERCA DTK 125;869;1600;900219370;5;1
PMCTFR80;PERNO MANIGUETA CON TUERCA FR 80;869;1600;900219370;5;1
PMCTPLS180;PERNO MANIGUETA CON TUERCA PULSAR 180;869;1600;900219370;5;1
PMCTRX115;PERNO MANIGUETA CON TUERCA RX 115;869;1600;900219370;5;1
PMCTS125Z;PERNO MANIGUETA CON TUERCA TS 125Z;869;1600;900219370;5;1
PMCTXL 125;PERNO MANIGUETA CON TUERCA XL 125;869;1600;900219370;5;1
PNLLU;PNATALON LLUVIA;12000;20000;1144184732;3;1
PPBAKT125S;PERNO PORTABANDA  AKT 125S;1528;2600;900219370;5;1
PPBAX100;PERNO PORTABANDA  AX 100;1487;2400;900219370;10;1
PPBBES125;PERNO PORTABANDA  BEST 125;1528;2500;900219370;5;1
PPBBX100;PERNO PORTABANDA  BOXER 100;1888;3100;900219370;5;1
PPBRX115;PERNO PORTABANDA  RX 115;1487;2400;900219370;5;1
PPBVVA115;PERNO PORTABANDA  VIVA 115;1528;2500;900219370;5;1
PRAMRDBLRES;PAR AMORTIGUADOR DOBLE RESORTE BOXER /PLATINO;56800;84000;805005639;2;1
PRAMRPLS180;PAR AMORTIGUADOR PULSAR 180 AZUL;85580;126000;805005639;1;1
PRAMRRX;PAR AMORTIGUADOR RX/GTO HUAYING CHNO;48200;72000;805005639;2;1
PRAMRTRSBES;PAR AMORTIGUADOR TRASERO BEST CROMADO;49725;74000;805005639;2;1
PRAMRVVA;PAR AMORTIGUADOR VIVA 115 /VIVAX TRSERO CHNO;37100;55000;805005639;2;1
PRNRS;PIERNEROS;15000;30000;79734278;10;1
PROTMORDZ;PROTECTORES MORDAZA;13000;25000;79734278;8;1
PRTPLCA;PORTA PLACA;3000;7500;79734278;23;1
RALAGMN;RESORTE APOYO LATERAL AGILITY MN;840;1600;900219370;5;1
RALAKT100;RESORTE APOYO LATERAL AKT 100;968;1800;900219370;5;1
RALAKT110;RESORTE APOYO LATERAL AKT 110;840;1600;900219370;5;1
RALAKT125F;RESORTE APOYO LATERAL AKT 125 FLEX;840;1600;900219370;5;1
RALAKT125T;RESORTE APOYO LATERAL AKT 125 TT;931;1800;900219370;5;1
RALAX100;RESORTE APOYO LATERAL AX 100;840;1600;900219370;5;1
RALBES125;RESORTE APOYO LATERAL BEST 125;840;1600;900219370;5;1
RALCB110;RESORTE APOYO LATERAL CB 110;840;1600;900219370;5;1
RALCRY110;RESORTE APOYO LATERAL CRYPTON 110;840;1600;900219370;5;1
RALDIS125;RESORTE APOYO LATERAL DISCOVER 125;80;1600;900219370;5;1
RALDTK125;RESORTE APOYO LATERAL DTK 125;1156;2200;900219370;5;1
RALECO100;RESORTE APOYO LATERALECO 100;968;1800;900219370;5;1
RALFZ16;RESORTE APOYO LATERAL FZ 16;782;1500;900219370;5;1
RALGN125;RESORTE APOYO LATERAL GN 125;840;1600;900219370;5;1
RALLIB110;RESORTE APOYO LATERAL LIBERO 110;840;1600;900219370;5;1
RALLIB125;RESORTE APOYO LATERAL LIBERO 125;840;1600;900219370;5;1
RALRX100;RESORTE APOYO LATERAL RX 100;840;1600;900219370;5;1
RALSP100;RESORTE APOYO LATERAL SPLENDOR 100;968;1900;900219370;5;1
RALVVA115;RESORTE APOYO LATERAL VIVA 115;840;1600;900219370;5;1
RALYBR125;RESORTE APOYO LATERAL YBR 125;1225;2400;900219370;5;1
RCAKT110;RESORTE CRANCK AKT 110;1810;2500;900219370;4;1
RCAKT125F;RESORTE CRANK AKT 125 FLEX;1810;2500;900219370;2;1
RCAKT125S;RESORTE CRANK AKT 125S;1810;2500;900219370;2;1
RCAX100;RESORTE CRANK AX 100;1810;2500;900219370;2;1
RCC100B;RESORTE CRANK C 100 BIZ;1810;2500;900219370;2;1
RCCD100;RESORTE CRANK CD 100;1810;2500;900219370;2;1
RCCRY115;RESORTE CRANK CRYPTON 115;1810;2500;900219370;2;1
RCDIS135;RESORTE CRANK DISCOVER 135;1810;2500;900219370;2;1
RCDTK125;RESORTE CRANK DTK 125;1810;2500;900219370;2;1
RCECO100;RESORTE CRANK ECO 100;1810;2500;900219370;2;1
RCLIB110;RESORTE CRANK LIBERO 110;1810;2500;900219370;2;1
RCPKLS180;RESORTE CRANK PULSAR 180;1810;2500;900219370;2;1
RCTS125Z;RESORTE CRANK TS 125Z;1810;2500;900219370;2;1
RCV80;RESORTE CRANK V 80;1810;2500;900219370;2;1
RCXL125;RESORTE CRANK XL 125;1810;2500;900219370;2;1
RDPRO;RODILLERA PROTECCION;40000;65000;1144184732;1;1
RGCAKT100;RESORTE GATO CENTRAL AKT 100;841;1700;900219370;5;1
RGCAKY110;RESORTE GATO CENTRALAKT110;841;1700;900219370;5;1
RGCAX100;RESORTE GATO CENTRAL AX 100;841;1700;900219370;5;1
RGCBES125;RESORTE GATO CENTRAL BEST 125;841;1700;900219370;5;1
RGCC100;RESORTE GATO CENTRAL C100 BIZ;841;1700;900219370;5;1
RGCCRY110;RESORTE GATO CENTRAL CRYPTON 110;841;1700;900219370;5;1
RGCECO100;RESORTE GATO CENTRAL ECO 100;968;1800;900219370;5;1
RGCFR80;RESORTE GATO CENTRAL FR80;841;1700;900219370;5;1
RGCFZ16;RESORTE GATO CENTRAL FZ 16;979;1800;900219370;5;1
RGCLIB110;RESORTE GATO CENTRAL LIBERO 110;841;1700;900219370;5;1
RGCRX100;RESORTE GATO CENTRAL RX 100;841;1700;900219370;5;1
RGCVVA115;RESORTE GATO CENTRAL VIVA 115;841;1700;900219370;5;1
RN140;RIN 140*17;22670;36800;805005639;1;1
RN14018;RIN 140*18;22150;36600;805005639;1;1
RN16017;RIN 160#17 APAYA;28570;48600;805005639;2;1
RN16018;RIN 160#18 APAYA;24971;39800;805005639;2;1
RPFAKT100;RESORTE PEDAL FRENO AKT 100;795;1600;900219370;5;1
RPFAKT125E;RESORTE PEDAL FRENOAKT 125 EVO;923;1700;900219370;5;1
RPFAKT125N;RESORTE PEDAL FRENO AKT 125 NKD;795;1600;900219370;5;1
RPFAKT125S;RESORTE PEDAL FRENO AKT 125S;795;1600;900219370;5;1
RPFAX100;RESORTE PEDAL FRENO AX 100;795;1600;900219370;5;1
RPFBES125;RESORTE PEDAL FRENO BEST 125;795;1600;900219370;5;1
RPFBX100;RESORTE PEDAL FRENO BOXER 100;795;1600;900219370;5;1
RPFC100;RESORTE PEDAL FRENO C100 BIZ;795;1600;900219370;5;1
RPFC70;RESORTE PEDAL FRENO C70;795;1600;900219370;5;1
RPFCD100;RESORTE PEDAL FRENO CD 100;795;1600;900219370;5;1
RPFDIS125;RESORTE PEDAL FRENO DISCOVER 125;795;1600;900219370;5;1
RTAKT110;RESORTE TELESCOPICOAKT 110;2872;4600;900219370;2;1
RTAX100;RESORTE TELESCOPICO AX 100;2278;3600;900219370;2;1
RTBX100;RESORTE TELESCOPICO BOXER 100;3816;6200;900219370;2;1
RTC100B;RESORTE TELESCOPICO C 100 BIZ;3245;5200;900219370;2;1
RTCRY110;RESORTE TELESCOPICO CRYPTON 110;3245;5200;900219370;2;1
RTDIS125SP;RESORTE TELESCOPICO DISCOVER 125 SUPREME;4543;7300;900219370;2;1
RTECO100;RESORTE TELESCOPICO ECO 100;4543;7300;900219370;2;1
RTFZ16;RESORTE TELESCOPICO FZ 16;3500;5600;900219370;2;1
RTPLS135;RESORTE TELESCOPICO PULSAR 135;4543;7300;900219370;2;1
RTPLS180;RESORTE TELESCOPICO PULSAR 180;4545;7300;900219370;2;1
RTRX100;RESORTE TELESCOPICO RX 100;2250;3600;900219370;2;1
SIAX;SILLIN AX;43000;75600;900909799;1;1
SILENAX;SILENCIADOR COMPLETO AX100;43600;68500;805005639;1;1
SILENCCMP;SILENCIADOR COMPLETO BOXER;65900;85900;805005639;1;1
STCMP;STOP COMPLETO AKT110/AY110;8000;14600;805005639;2;1
STPAK;STOP AK125 SLP LED;13910;24600;805005639;1;1
STPBSE;STOP CON BASE C90;8110;13600;805005639;1;1
STPCB11;STOP COMPLETO CB110;17100;28600;805005639;2;1
STPCBSEDT;STOP CON BASE DT;4470;7800;805005639;3;1
STPCMPLMPR;STOP COMPLETO BEST 125 MULTIPARTES;15920;25900;805005639;1;1
STPCOMBSE;STOP COMPLETO BASE FR80;6300;12600;805005639;2;1
STPCPLTAK;STOP COMPLETO AKT 125S;6785;12800;805005639;2;1
STPCPWVE ;STOP COMPLETO WAVE 110;18400;32600;805005639;1;1
STPCRYP;STOP COMPLETO CRYPTON;15840;25900;805005639;1;1
STPECOLX;STOP ECO DELUXE;15370;26800;805005639;1;1
STPRX;STOP RX115-135/TX100 ;6500;11800;805005639;3;1
STPSPLCPM;STOP COMPLETO SPLENDOR;19400;32600;805005639;1;1
TCAAKT125SL;TAPON CARTER ARANDELA AKT 125SL;1784;2800;900219370;5;1
TCAFR80;TAPON CARTER ARANDELA FR80;1716;2800;900219370;5;1
TCAX100;TAPON CARTER ARANDELA AX 100;1784;2800;900219370;5;1
TMAKT125S;TORNILLO MORDAZA AKT 125 SPORT;1800;2900;900219370;2;1
TMVVA115;TORNILLO MORDAZA VIVA 115;2200;3600;900219370;2;1
TORNLJS;PARES TORNILLOS LUJO;900;1800;79734728;360;1
TPALUJ;TAPA LUJO;8000;15000;79734278;6;1
TPCBX100;TUERCA PORTACATALINA BOXER 100;1487;2400;900219370;2;1
TPCDI125SUP;TUERCA PORTACATALINA DISCOVER 125 SUPREME;1487;2400;900219370;2;1
TPCECO100;TUERCA PORTACATALINA ECO 100;1464;2400;900219370;2;1
TPCFR80;TUERCA PORTACATALINA FR 80;1464;2400;900219370;2;1
TPCRX100;TUERCA PORTACATALINA RX 100;1464;2400;900219370;2;1
TPISAX100;TUERCA PIÑON SALIDA AX 100;1476;2400;900219370;2;1
TPISDTK125;TUERCA PIÑON SALIDA DTK 125;1476;2400;900219370;2;1
TPISRX100;TUERCA PIÑON SALIDA RX 100;1476;2400;900219370;2;1
TPISTS125Z;TUERCA PIÑON SALIDA TS 125 Z;1476;2400;900219370;2;1
TPLAKT125;TORMILLO PATA LATERAL AKT 125 S;1362;2400;900219370;2;1
TPLFZ16;TORMILLO PATA LATERAL FZ 16;1800;2800;900219370;5;1
TPLRX100;TORMILLO PATA LATERAL RX 100;1362;2200;900219370;5;1
TPLSPL100;TORMILLO PATA LATERAL SPLENDOR 100;1362;2200;900219370;5;1
TPSACPL;TOPES CON ACOPLE;3000;6000;79734278;4;1
TPSAKT;TOPES AKT PEQUEÑOS;2000;4000;79734278;4;1
TPVALV;TAPA VALVULA;1700;3500;79734278;50;1
TPVENTBWS;TAPA VENTILADOR BWS;10000;25000;79734278;3;1
TRLLU;TRAJE LLUVIA;32000;60000;1144184732;15;1
TRNEM;TRAJES NEMIX;32000;55000;1144184732;9;1
TRSAT;TRAJES SATINADOS;32000;60000;1144184732;8;1
TVFUNI;TUERCA VARILLA FRENO UNIVERSAL;790;1400;900219370;5;1
VFAKT125F;VARILLA DE FRENO AKT 125 FLEX;3000;4800;900219370;2;1
VFAKT125NK;VARILLA DE FRENO AKT 125 NKD;2633;4200;900219370;2;1
VFAX100;VARILLA DE FRENO AX 100;2633;4200;900219370;2;1
VFBE125;VARILLA DE FRENO BEST 125;2633;4200;900219370;2;1
VFBX100;VARILLA DE FRENO BOXER 100;3177;5100;900219370;2;1
VFDIS125SP;VARILLA DE FRENO DISCOVER 125 SUPREME;3200;5200;900219370;2;1
VFDTK125;VARILLA DE FRENO DTK 125;3119;5000;900219370;2;1
VFECO100;VARILLA DE FRENO ECO 100;3454;5200;900219370;3;1
VFKW100;VARILLA DE FRENO KW 100;2633;4200;900219370;2;1
VFPLS180;VARILLA DE FRENO PULSAR 180;3119;5000;900219370;2;1
VFRX100;VARILLA DE FRENO RX 100;2633;4200;900219370;2;1
VFSPL100;VARILLA DE FRENO SPLEDOR 100;3454;5600;900219370;2;1
VFTS125Z;VARILLA DE FRENO TS 125Z;3003;4800;900219370;2;1
VFV 80;VARILLA DE FRENO V 80;2633;4200;900219370;1;1
VFXL125;VARILLA DE FRENO XL 125;2860;4600;900219370;2;1
ZPT;ZAPATONES;5000;10000;1144184732;3;1
